stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
541,541,"Hwy 92 & 84th St NE",48.071286,-122.010094,0,
543,543,"W Stanley St & Portage Ave",48.083229,-121.974339,0,
544,544,"W Stanley St & Cascade Ave",48.083262,-121.970844,0,
550,550,"Hwy 2 & 339th Ave SE",47.868011,-121.776258,0,
551,551,"Hwy 2 & 363rd Ave SE",47.867090,-121.744236,0,
555,555,"Hwy 2 & Sofie Rd",47.855736,-121.926731,0,
558,558,"Hwy 2 & Fern Bluff Rd",47.858080,-121.830246,0,
560,560,"Hwy 2 & 368th Dr SE",47.867091,-121.737655,0,
575,575,"100th Ave W & 237th Pl SW",47.784573,-122.366244,0,
589,589,"179th Ave SE & Stanton St",47.860357,-121.990592,0,
595,595,"207th St NE & Keith Ln",48.182491,-122.122429,0,
597,597,"23rd Ave SE & 171st Pl SE",47.842750,-122.201726,0,
603,603,"29th Ave W & 232nd St SW",47.788510,-122.271895,0,
605,605,"3rd Ave N & 4th Ave N",47.815411,-122.376175,0,
606,606,"3rd Ave N & Bell St",47.812641,-122.378479,0,
607,607,"3rd Ave N & Giltner Ln",47.817241,-122.374653,0,
608,608,"3rd Ave N & Daley St",47.813588,-122.377692,0,
611,611,"35th Ave W & 156th St SW",47.856859,-122.280135,0,
612,612,"35th Ave SE & 156th St SE",47.856697,-122.186847,0,
613,613,"35th Ave W & 158th St SW",47.854904,-122.280137,0,
615,615,"35th Ave SE & 164th St SE",47.848704,-122.186524,0,
617,617,"36th Ave W & 171st St SW",47.844303,-122.281672,0,
619,619,"36th Ave W & 184th St SW",47.832558,-122.281573,0,
623,623,"36th Ave W & 176th Pl SW",47.839049,-122.281599,0,
624,624,"39th Ave SE & NE 204th Pl",47.776680,-122.180103,0,
629,629,"4th Ave W & 213th Pl SW",47.804597,-122.238353,0,
630,630,"4th Ave W & 216th St SW",47.802532,-122.238347,0,
635,635,"4th Ave S & S Washington St",47.601317,-122.328867,0,
638,638,"4th Ave W & 219th Pl SW",47.799057,-122.238311,0,
641,641,"4th Ave & Seneca St",47.607457,-122.334020,0,
645,645,"44th Ave W & 172nd St SW",47.843067,-122.292422,0,
646,646,"44th Ave W & 174th Pl SW",47.841078,-122.292395,0,
647,647,"44th Ave W & 179th St SW",47.837084,-122.292394,0,
648,648,"44th Ave W & 184th St SW",47.832301,-122.292369,0,
649,649,"44th Ave W & 188th St SW",47.828573,-122.292275,0,
650,650,"44th Ave W & 192nd St SW",47.825233,-122.292316,0,
651,651,"44th Ave W & 214th St SW",47.805262,-122.292226,0,
652,652,"44th Ave W & Hawk Way",47.802243,-122.292105,0,
653,653,"44th Ave W & 220th St SW",47.799854,-122.292213,0,
654,654,"44th Ave W & 226th St SW",47.794100,-122.292128,0,
656,656,"44th Ave W & Maple Rd",47.834628,-122.292402,0,
658,658,"44th Ave W & 176th St SW",47.838885,-122.292395,0,
659,659,"44th Ave W & 223rd St SW",47.797380,-122.292186,0,
660,660,"44th Ave W & 224th St SW",47.795836,-122.292167,0,
662,662,"44th Ave W & 20800 Block",47.811044,-122.292138,0,
665,665,"47th Ave W & Chennault Beach Rd",47.896264,-122.297402,0,
666,666,"47th Pl W & Harbour Pointe Blvd",47.904322,-122.296530,0,
667,667,"47th Ave W & 109th St SW",47.898565,-122.295924,0,
675,675,"48th Ave W & 233rd St SW",47.787473,-122.297528,0,
681,681,"5th Ave S & Elm Way",47.800908,-122.377438,0,
682,682,"5th Ave S & Holly Dr",47.806775,-122.377483,0,
683,683,"5th Ave S & Pine St",47.803625,-122.377459,0,
688,688,"51st Ave NE & 119th Pl NE",48.103157,-122.162120,0,
689,689,"51st Ave NE & 123rd Pl NE",48.106792,-122.162148,0,
690,690,"51st Ave NE & 126th Pl NE",48.109909,-122.162163,0,
