shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.850170,-122.293260,130007,7357.75
101:179,47.849640,-122.293470,130008,7418.77
101:179,47.849420,-122.293560,130009,7444.13
101:179,47.849320,-122.293600,130010,7455.65
101:179,47.849090,-122.293690,130011,7482.08
101:179,47.848920,-122.293760,130012,7501.71
101:179,47.848790,-122.293810,130013,7516.64
101:179,47.848670,-122.293860,130014,7530.48
101:179,47.848500,-122.293920,130015,7549.90
101:179,47.847950,-122.294140,130016,7613.23
101:179,47.847880,-122.294170,130017,7621.34
101:179,47.847820,-122.294190,130018,7628.17
101:179,47.847730,-122.294220,130019,7638.44
101:179,47.847620,-122.294270,130020,7651.21
101:179,47.847540,-122.294300,130021,7660.42
101:179,47.847320,-122.294380,130022,7685.59
101:179,47.847180,-122.294430,130023,7701.63
101:179,47.847110,-122.294460,130024,7709.73
101:179,47.847030,-122.294490,130025,7718.91
101:179,47.846540,-122.294680,130026,7775.20
101:179,47.846160,-122.294840,130027,7819.16
101:179,47.845980,-122.294910,130028,7839.82
101:179,47.845940,-122.294920,130029,7844.30
101:179,47.845820,-122.294970,130030,7858.14
101:179,47.845595,-122.295055,130031,7883.96
101:179,47.845530,-122.295080,140002,7891.42
101:179,47.845500,-122.295090,140003,7894.84
101:179,47.845340,-122.295150,140004,7913.19
101:179,47.845200,-122.295210,140005,7929.37
101:179,47.845010,-122.295290,140006,7951.35
101:179,47.844870,-122.295350,140007,7967.53
101:179,47.844650,-122.295440,140008,7992.92
101:179,47.844570,-122.295470,140009,8002.10
101:179,47.844340,-122.295570,140010,8028.74
101:179,47.844010,-122.295710,140011,8066.90
101:179,47.843970,-122.295730,140012,8071.59
101:179,47.843930,-122.295750,140013,8076.29
101:179,47.843600,-122.295910,140014,8114.87
101:179,47.843510,-122.295970,140015,8125.82
101:179,47.843350,-122.296070,140016,8145.11
101:179,47.842920,-122.296360,140017,8197.63
101:179,47.842590,-122.296620,140018,8239.14
101:179,47.842460,-122.296720,140019,8255.45
